Layer,GDV
0,-0.1616855548416124
1,-0.18131966868932015
2,-0.19316449207940653
3,-0.2060703767998503
4,-0.20216907491155298
5,-0.2132256712747391
6,-0.29545365690414144
7,-0.3190251180482238
8,-0.306040697400185
9,-0.3064112800247606
10,-0.3238955077747663
11,-0.3413520720920221
12,-0.34545490207249524
13,-0.3598413993773586
14,-0.36381834273269303
15,-0.3711672495921171
16,-0.37792531110734806
17,-0.42323370858291987
18,-0.4653752215846578
19,-0.5108119719964705
20,-0.49899729007719845
21,-0.5555576748893363
22,-0.579117768394091
23,-0.6025156019930326
24,-0.6037405092501794
25,-0.5949712367497607
26,-0.5888462042985564
27,-0.5815053529911534
28,-0.5686498944409955
29,-0.536243647331874
30,-0.46979928623533623
31,-0.4613498382085936
32,-0.4183487839427702
33,-0.3922733366748965
34,-0.3946005623895057
35,-0.41911977105307957
36,-0.40620126795367545
37,-0.40156731564495585
38,-0.40042744863274937
39,-0.39694809022318506
40,-0.21334968569321477
41,-0.23752321349354605
42,-0.24386965882380207
43,-0.24648271600860672
44,-0.27007009411167904
45,-0.29124079086481736
46,-0.2950064994442481
47,-0.30775699459917744
48,-0.31475614104444016
49,-0.3243146803658571
50,-0.3328220662291872
51,-0.3377009412319846
52,-0.3495291753955622
53,-0.35092357320070944
54,-0.35094732968500697
55,-0.356181598152124
56,-0.35601817564067484
57,-0.35159053169629284
58,-0.35196766275907165
59,-0.3480375762283768
60,-0.3374821736547042
61,-0.33194656844051074
62,-0.32835072712859437
63,-0.3335363744271518
64,-0.33539130227662517
65,-0.33727949577719435
66,-0.3357922440911997
67,-0.341692696946836
68,-0.3447190954969015
69,-0.3458685451333259
70,-0.3491242174320635
71,-0.3498477754266651
72,-0.34991384282820676
73,-0.34837275320828376
74,-0.34645794256803736
75,-0.34804135079786813
76,-0.3493741260934048
77,-0.35257648799243724
78,-0.35157005993072504
79,-0.3570673273307673
